曲名,歌手名,ユーザー,スコア,日付
Crazy Crazy,星野 源,まつりく,87.799,2024/07/22 14:20:39
地獄でなぜ悪い,星野 源,まつりく,84.578,2024/07/22 14:25:16
くだらないの中に,星野 源,まつりく,87.298,2024/07/22 14:29:37
fish,back number,まつりく,86.129,2024/07/22 14:35:03
ブルーベリー・ナイツ,マカロニえんぴつ,まつりく,79.406,2024/07/22 14:41:50
ヤングアダルト,マカロニえんぴつ,まつりく,78.881,2024/07/22 14:46:22
別の人の彼女になったよ,wacci,まつりく,84.765,2024/07/22 14:49:40
君の為のキミノウタ,川崎鷹也,まつりく,84.211,2024/07/22 14:57:20
サクラウサギ,川崎鷹也,まつりく,81.209,2024/07/22 15:04:41
僕と僕,川崎鷹也,まつりく,75.336,2024/07/22 15:09:17
シングルベッド,シャ乱Q,まつりく,89.496,2024/07/22 15:12:22
チェリー,スピッツ,まつりく,92.054,2024/07/22 15:45:48
わたがし,back number,まつりく,85.298,2024/07/22 15:56:51
僕は君の事が好きだけど君は僕を別に好きじゃないみたい,back number,まつりく,85.647,2024/07/22 16:07:21
虹,菅田将暉,まつりく,86.962,2024/07/22 16:14:11
眠り姫,SEKAI NO OWARI(世界の終わり),まつりく,91.263,2024/07/22 16:27:04
かくれんぼ,優里,まつりく,84.829,2024/07/22 16:35:23
恋,back number,まつりく,88.607,2024/07/22 16:49:55
恋だろ,wacci,まつりく,87.835,2024/07/22 17:00:14
セプテンバーさん,RADWIMPS,まつりく,87.330,2024/07/22 17:11:11
マリーゴールド(生音),あいみょん,まつりく,90.068,2024/07/22 17:22:55
桜,コブクロ,まつりく,87.573,2024/07/22 17:31:04
蕾,コブクロ,まつりく,84.963,2024/07/22 17:49:24
サウダージ,ポルノグラフィティ,まつりく,88.486,2024/07/22 18:01:38
瞬き,back number,まつりく,86.522,2024/07/22 18:08:43
Friend Ship,星野 源,まつりく,87.155,2024/07/22 18:43:44
正解,RADWIMPS,まつりく,87.462,2024/07/22 18:53:30
君に届け,flumpool,まつりく,76.507,2024/07/22 19:00:03
Friend Ship,星野 源,まつりく,89.096,2024/07/22 19:05:56
Friend Ship,星野 源,まつりく,89.048,2024/07/22 19:10:26
手紙,back number,まつりく,88.077,2024/07/22 19:15:42
恋,back number,まつりく,87.795,2024/07/22 19:21:11
恋,back number,まつりく,87.488,2024/07/22 19:26:08
感情,wacci,まつりく,90.667,2024/07/22 19:33:07
桜,コブクロ,まつりく,88.919,2024/07/22 19:39:51
桜,コブクロ,まつりく,89.024,2024/07/22 19:45:33
残酷な天使のテーゼ,高橋洋子,まつりく,83.014,2024/07/22 19:52:58
桜,コブクロ,まつりく,90.449,2024/07/24 11:05:25
Friend Ship,星野 源,まつりく,92.028,2024/07/24 11:19:18
虹,菅田将暉,まつりく,87.830,2024/07/24 11:27:13
感情,wacci,まつりく,91.402,2024/07/24 11:38:11
恋だろ,wacci,まつりく,91.226,2024/07/24 11:48:14
さよならエレジー,菅田将暉,まつりく,91.938,2024/07/24 12:50:15
黄色,back number,まつりく,88.266,2024/07/24 13:01:55
くだらないの中に,星野 源,まつりく,88.533,2024/07/24 13:12:27
